ZIP CODE,Driver Inattention,Failure to Yield,Following Too Closely,Improper Lane Usage,Unsafe Lane Change,Unsafe Speed
10035.0,358.0,65.0,167.0,104.0,146.0,13.0
10036,47.0,8.0,,,,
10036.0,772.0,91.0,294.0,317.0,316.0,15.0
10037,19.0,2.0,1.0,,3.0,
10037.0,139.0,51.0,24.0,30.0,18.0,6.0
10038,11.0,3.0,,,,
10038.0,125.0,23.0,42.0,35.0,14.0,17.0
10039,1.0,6.0,,,,
10039.0,55.0,9.0,7.0,14.0,23.0,
10040,11.0,5.0,,,,
10040.0,184.0,17.0,63.0,51.0,19.0,14.0
10065,18.0,15.0,,,,
10065.0,519.0,69.0,99.0,100.0,70.0,17.0
10069,2.0,,,,,
10069.0,,,4.0,,,
10075,21.0,2.0,,,,
10075.0,131.0,18.0,46.0,34.0,38.0,4.0
10103.0,2.0,,,,,
10107.0,,5.0,,,5.0,
10110.0,,,8.0,,,
10111.0,,,4.0,4.0,,
10112.0,6.0,,,,,
10118.0,6.0,,13.0,4.0,4.0,
10119.0,25.0,,3.0,6.0,,3.0
10121.0,14.0,4.0,14.0,,6.0,
10123.0,5.0,4.0,,,,
10128,24.0,9.0,,,,
10128.0,212.0,25.0,105.0,29.0,111.0,12.0
10153.0,4.0,,,,,
10165.0,4.0,4.0,8.0,,,
10166.0,,,4.0,,,
10168.0,17.0,5.0,8.0,,,
10169.0,,,,,13.0,
10172.0,35.0,,10.0,8.0,,
10278.0,5.0,,,4.0,,
10279.0,,8.0,,4.0,,
10280,1.0,1.0,,,,
10280.0,9.0,4.0,2.0,4.0,,
10281.0,,4.0,7.0,,,
10282,,1.0,,,,
10282.0,10.0,5.0,5.0,3.0,,
10301,17.0,9.0,,,,
10301.0,384.0,47.0,125.0,33.0,11.0,2.0
10302.0,22.0,10.0,4.0,,,
10303,2.0,,,,,
10304,16.0,6.0,1.0,1.0,,
10304.0,489.0,85.0,91.0,51.0,48.0,46.0
10305,42.0,19.0,,,,2.0
10305.0,403.0,106.0,108.0,51.0,12.0,29.0
10306,78.0,31.0,,,,
10306.0,799.0,204.0,261.0,66.0,41.0,101.0
10307.0,39.0,23.0,4.0,12.0,,
10308,18.0,6.0,,,,6.0
10308.0,221.0,129.0,50.0,12.0,11.0,
10309,2.0,4.0,,,,
10309.0,239.0,127.0,45.0,18.0,11.0,8.0
10310,19.0,,,,,
10310.0,146.0,58.0,16.0,5.0,,4.0
10312,13.0,11.0,2.0,,,
10312.0,413.0,215.0,155.0,60.0,8.0,48.0
10314,18.0,21.0,2.0,1.0,,
10314.0,144.0,38.0,57.0,25.0,6.0,8.0
10451,88.0,28.0,1.0,,,
10451.0,647.0,96.0,167.0,48.0,86.0,33.0
10452,47.0,14.0,3.0,,2.0,
10452.0,368.0,53.0,78.0,59.0,36.0,15.0
10453,12.0,6.0,1.0,,,
10453.0,267.0,85.0,48.0,43.0,32.0,13.0
10454,59.0,25.0,,,1.0,
10454.0,528.0,49.0,154.0,35.0,47.0,19.0
10455,60.0,22.0,1.0,,,2.0
10455.0,363.0,32.0,101.0,32.0,52.0,18.0
10456,39.0,42.0,,,,
10456.0,430.0,81.0,59.0,67.0,29.0,36.0
10457,40.0,22.0,3.0,,,2.0
10457.0,496.0,99.0,145.0,45.0,5.0,49.0
10458,38.0,22.0,1.0,,,1.0
10458.0,543.0,117.0,152.0,72.0,76.0,57.0
10459,39.0,23.0,,4.0,,2.0
10459.0,254.0,84.0,202.0,53.0,34.0,14.0
10460,25.0,12.0,1.0,,,1.0
10460.0,647.0,93.0,140.0,105.0,57.0,19.0
10461,20.0,10.0,1.0,4.0,,
10461.0,138.0,42.0,30.0,8.0,14.0,7.0
10462,10.0,4.0,,,,
10462.0,237.0,21.0,28.0,11.0,8.0,48.0
10463,18.0,10.0,,,1.0,
10463.0,334.0,47.0,57.0,16.0,14.0,9.0
10464,2.0,,,,,
10464.0,75.0,10.0,11.0,,,
10465,21.0,15.0,1.0,2.0,,
10465.0,105.0,14.0,30.0,7.0,28.0,16.0
10466,4.0,6.0,,,,
10466.0,761.0,84.0,103.0,50.0,39.0,48.0
10467,51.0,36.0,4.0,,,
10467.0,499.0,108.0,41.0,63.0,56.0,43.0
10468,76.0,28.0,,,,
10468.0,375.0,58.0,87.0,34.0,51.0,21.0
10469,8.0,14.0,,1.0,,
10469.0,443.0,107.0,21.0,31.0,23.0,72.0
10470,3.0,,,,,
10470.0,155.0,5.0,38.0,26.0,4.0,39.0
10471,12.0,1.0,,,,
10471.0,55.0,13.0,23.0,,,4.0
10472,27.0,25.0,1.0,,,
10472.0,346.0,45.0,49.0,76.0,84.0,24.0
10473,17.0,11.0,,,,
10473.0,291.0,34.0,15.0,38.0,42.0,38.0
10474,,4.0,,,,
10474.0,92.0,41.0,34.0,32.0,12.0,17.0
10475,10.0,6.0,,,,
10475.0,221.0,57.0,62.0,22.0,9.0,16.0
11001,1.0,2.0,,,,
11001.0,18.0,27.0,,8.0,,16.0
11004,12.0,10.0,,,,
11004.0,112.0,24.0,17.0,40.0,13.0,15.0
11005,1.0,,,,,
11040.0,23.0,5.0,,,,5.0
11101,69.0,36.0,,,,4.0
11101.0,1190.0,305.0,186.0,200.0,67.0,34.0
11102,8.0,14.0,,,,1.0
11102.0,198.0,61.0,62.0,20.0,26.0,19.0
11103,6.0,13.0,,,,
11103.0,231.0,63.0,15.0,36.0,4.0,1.0
11104,10.0,13.0,,,,
11104.0,157.0,19.0,39.0,23.0,10.0,4.0
11105,6.0,18.0,,,,
11105.0,149.0,62.0,19.0,16.0,4.0,
11106,15.0,18.0,,,,
11106.0,304.0,113.0,12.0,70.0,,10.0
11109.0,6.0,,,,,
11201,37.0,53.0,,,,1.0
11201.0,596.0,114.0,369.0,252.0,212.0,26.0
11203,80.0,93.0,2.0,,,
11203.0,701.0,201.0,113.0,101.0,45.0,81.0
11204,50.0,19.0,,,,
11204.0,409.0,152.0,113.0,39.0,18.0,32.0
11205,16.0,18.0,,,,
11205.0,292.0,97.0,71.0,67.0,16.0,17.0
11206,35.0,33.0,,,,
11206.0,368.0,249.0,188.0,130.0,36.0,99.0
11207,67.0,32.0,2.0,,,1.0
11207.0,895.0,494.0,355.0,106.0,133.0,57.0
11208,48.0,21.0,,,,
11208.0,483.0,292.0,188.0,95.0,45.0,87.0
11209,7.0,23.0,,,,
11209.0,170.0,144.0,142.0,80.0,59.0,31.0
11210,29.0,16.0,9.0,,,2.0
11210.0,442.0,212.0,97.0,198.0,32.0,38.0
11211,35.0,77.0,,,,2.0
11211.0,359.0,282.0,153.0,149.0,35.0,21.0
11212,28.0,43.0,3.0,,,
11212.0,375.0,166.0,79.0,51.0,42.0,54.0
11213,82.0,17.0,3.0,,,
11213.0,533.0,137.0,218.0,56.0,61.0,22.0
11214,22.0,17.0,1.0,,,
11214.0,522.0,244.0,80.0,25.0,22.0,15.0
11215,37.0,9.0,,,,1.0
11215.0,351.0,122.0,162.0,162.0,69.0,45.0
11216,26.0,15.0,,,,
11216.0,468.0,59.0,181.0,71.0,34.0,84.0
11217,20.0,14.0,,,,1.0
11217.0,586.0,135.0,204.0,163.0,154.0,19.0
11218,32.0,25.0,3.0,,,
11218.0,449.0,126.0,87.0,59.0,31.0,27.0
11219,34.0,37.0,1.0,,,
11219.0,315.0,130.0,68.0,67.0,12.0,
11220,55.0,37.0,3.0,,1.0,2.0
11220.0,230.0,150.0,106.0,53.0,17.0,28.0
11221,25.0,10.0,,,,
11221.0,491.0,188.0,250.0,50.0,2.0,45.0
11222,17.0,43.0,26.0,,,
11222.0,183.0,175.0,108.0,115.0,23.0,37.0
11223,29.0,69.0,1.0,,,3.0
11223.0,553.0,301.0,149.0,86.0,29.0,61.0
11224,27.0,5.0,2.0,,,
11224.0,266.0,44.0,41.0,4.0,20.0,15.0
11225,45.0,16.0,2.0,,,
